x,y,z
-56.27693602867731,-52.42511363313075,4.0
-56.12283693957886,-52.18392805161875,4.0
-55.914675062427804,-51.98124380437264,4.0
-55.71142279262284,-51.77355081433087,4.0
-55.51174779943445,-51.56242380153705,4.0
-55.36317821444554,-51.31317451385645,4.0
-55.25450214101896,-31.418370279106774,6.0
-55.191540126019476,-51.079399620089845,4.0
-55.08154905112726,-32.00908384654777,5.0
-55.011104108855754,-50.85160430186875,4.0
-54.804642701936864,-50.6474893952955,4.0
-54.59078285215972,-50.45073617944718,4.0
-54.41625370662116,-50.22346171041734,4.0
-54.39519849976506,-29.630256906826254,7.0
-54.22356316117894,-50.00593420183387,4.0
-54.03087261573671,-49.788406693250394,4.0
-53.93606859939345,-31.02743210438039,5.0
-53.86354637815944,-49.55122901366292,4.0
-53.70101537573339,-49.31033165679959,4.0
-53.65814068345662,-29.86061637935175,6.0
-53.490523414878254,-49.11912834831078,4.0
-53.37655198149346,-48.85181135359182,4.0
-53.2525893850344,-48.589120342717194,4.0
-53.18938902848048,24.274900777754496,10.0
-53.13112388960502,1.5709692796603467,8.0
-53.1224806908978,-48.32927502141348,4.0
-52.951610369354256,-48.098696481459214,4.0
-52.794949629852155,-47.85394093812666,4.0
-52.72354310277926,3.3617770399442954,9.0
-52.672703645420896,-30.366930648184475,5.0
-52.6088084088414,-47.63318634649444,4.0
-52.38744343517672,-47.60764527189779,4.0
-52.15023667579567,-47.77546178792812,4.0
-52.09706801358732,-29.23359072324799,7.0
-51.88955045069781,-47.88279952927236,4.0
-51.59981235494929,-47.90515348116857,4.0
-51.452842728009564,-29.867026614304656,6.0
-51.35205189522745,-27.415651743645867,7.0
-51.310091588336725,-47.89797812496973,4.0
-51.214431028129354,24.285481464149715,10.0
-51.10217897639939,-30.314505409076965,5.0
-51.020379928767056,-47.87528412570236,4.0
-50.98154931121712,0.9549166643853134,8.0
-50.97419940034797,-22.876969609570708,7.0
-50.91976921919105,-20.47286458422019,7.0
-50.83193410326829,-25.22992608263729,7.0
-50.76014957725626,-18.03372075139754,7.0
-50.72994095719565,-47.88095422825456,4.0
-50.48326778607195,-15.605106666496043,7.0
-50.45710297783419,-47.92991010780681,4.0
-50.44515698381292,3.033663570157441,9.0
-50.27175779983979,-28.092950335446176,6.0
-50.251311064282206,-48.13508698664546,4.0
-50.15330170587873,-13.195085122722503,7.0
-50.11849370736729,-48.3766321466894,4.0
-50.07857871128532,-48.66447699444795,4.0
-49.939000053527145,-48.9083706487986,4.0
-49.73417098888631,-49.11450875195209,4.0
-49.690756794754684,-52.17360069652658,4.0
-49.6866320344262,-10.807748749446091,7.0
-49.632052529670084,-52.4321410323422,4.0
-49.596401238797164,-25.964108726031352,6.0
-49.57975416557695,-49.34760780670026,4.0
-49.564222230408106,-51.911996286550405,4.0
-49.5442355082821,-30.007471263193075,5.0
-49.52569113310775,24.34022981613838,10.0
-49.52202129917813,-49.63241437163642,4.0
-49.49547358798844,-52.688373510336675,4.0
-49.46429969762997,-49.914868947391284,4.0
-49.461116411905586,-51.64926804474261,4.0
-49.43606342111044,-51.35975084154809,4.0
-49.417980094324484,-50.20175282223089,4.0
-49.409176652792205,-51.070401753576505,4.0
-49.39473372572492,-50.491232480937846,4.0
-49.38117032781983,-50.78115530320089,4.0
-49.36583452847849,-52.94303582429956,4.0
-49.26498708727966,-53.21557510017922,4.0
-49.26173833187525,-23.725205808604983,6.0
-49.210776596096494,4.5380430148792925,9.0
-49.20616993776703,-53.499676638630746,4.0
-49.17739003253732,-21.43687381072732,6.0
-49.15573704615172,-53.7857988458281,4.0
-49.1216004483379,-54.074386018070825,4.0
-49.070374070183114,-54.359608960736594,4.0
-48.97501988992762,-54.62489739766085,4.0
-48.95269943426175,-19.160102066044374,6.0
-48.93783347459575,-16.891356076219438,6.0
-48.76279970382808,0.7564963605141379,8.0
-48.7495460277742,-28.710201850171448,5.0
-48.71404709888653,-54.751513846551475,4.0
-48.703139771797325,-14.613585006240044,6.0
-48.63581148778509,-55.0313835527523,4.0
-48.58956973387052,-55.603888374614165,4.0
-48.577369074020226,-55.31354546150524,4.0
-48.48452060689999,-55.8189395089501,4.0
-48.478288734688725,6.774622690545414,9.0
-48.40108047169864,-55.28422206316988,4.0
-48.39545337040894,-55.57476672242974,4.0
-48.39208457490097,-8.80063820638608,7.0
-48.29572250016166,-27.153633849033838,5.0
-48.22892392313122,-12.376089694055167,6.0
-48.227444184285154,-55.06199535077799,4.0
-48.02987413876439,-54.84888988297794,4.0
-47.924521373357095,9.05460129444964,9.0
-47.81627022035716,-6.439363357720026,7.0
-47.80283110349999,2.34977647817243,8.0
-47.77101069353526,-54.725441013975434,4.0
-47.76716203143977,-4.002953428740852,7.0
-47.6840597240422,-25.913340874539074,5.0
-47.66303024760456,11.294642667389496,9.0
-47.64035339772737,4.58642866855962,8.0
-47.62636980352909,24.47667965694848,10.0
-47.519924664453704,-1.5687011006151375,7.0
-47.49688871161736,-54.6307858051911,4.0
-47.32081622057256,13.598495396690168,9.0
-47.30280584142819,-54.41449964568827,4.0
-47.253242658814656,6.736028964235622,8.0
-47.16491171838135,-10.506535964355525,6.0
-47.100146072955425,-54.20744252886382,4.0
-47.08744635756341,-25.144901705286955,5.0
-47.01104181769763,23.236120758656345,10.0
-46.84883197518194,-54.06638721370419,4.0
-46.5809939695985,-53.953645623958245,4.0
-46.3399807600001,-53.795093260719796,4.0
-46.09849264513988,-53.6339055583737,4.0
-45.89366165051777,-53.43380570674734,4.0
-45.74065424109301,14.441199004627233,9.0
-45.71171086633984,-53.20751324032261,4.0
-45.57072742401711,7.080038135888942,8.0
-45.551749097802144,-1.390587373827241,7.0
-45.51224611611685,-52.99618014610442,4.0
-45.46559529945294,-25.35808845885814,5.0
-45.37170184810486,22.424009589884783,10.0
-45.23080746834901,-53.027162420895344,4.0
-45.04801454930384,-10.817070468159423,6.0
-44.96310760094178,-53.10795349598439,4.0
-44.75088096330079,-53.30021617998262,4.0
-44.66934552475578,-24.169897973046062,5.0
-44.49815765968894,-53.44251636058268,4.0
