x,y,z
2725183.733124633,1270785.9939158475,477.64821599541773
2725206.0848417934,1270772.0044952305,478.07534131989814
2725200.092107536,1270787.6497680538,479.69774120560464
2725192.165698496,1270777.9118219381,477.13739415699644
2725210.3153296583,1270781.8464079262,480.22397506799643
2725189.993667529,1270793.357535049,479.4817159685364
2725200.418481401,1270777.886309747,478.1668297361438
2725190.5916254567,1270786.3105999036,478.3132839660912
2725203.5475396486,1270782.7911911698,479.3824772740643
2725184.568622208,1270792.6002945006,478.7846328872362
2725196.6233197297,1270783.1321153387,478.49738670977126
2725186.0504856757,1270780.454737532,476.9099828653766
2725196.004327545,1270775.024879353,477.0
2725201.4282094655,1270770.8396069342,477.0953734907903
2725209.0819801437,1270777.4199487853,479.3129759222572
2725196.4606633754,1270790.6597706503,479.71153409991354
2725192.622955591,1270782.2114983858,477.86594046033395
2725203.8943462158,1270779.0435813877,478.78629499959385
2725192.9717811523,1270791.2779335533,479.3873632673232
2725187.1082448536,1270796.6188931116,479.8161326112714
2725185.9460842838,1270789.2838605244,478.36814700286607
2725195.119177489,1270786.6881250008,478.83109535529815
2725203.693074821,1270775.4896062976,478.2129119816913
2725179.670733991,1270785.0001798612,477.10889568357453
2725206.988146293,1270783.839909822,480.01987452606454
2725204.3553653657,1270769.005657988,477.3455563879841
2725196.298466618,1270778.6376363556,477.6463212712763
2725182.1888903333,1270782.6722874355,476.96540799674244
2725199.922881339,1270784.2548425316,479.02280611175
2725188.9843239044,1270779.9764141059,477.1049249103576
2725206.775595621,1270779.249810856,479.2100217087553
2725199.4290940077,1270774.060478238,477.3751569197318
2725182.795686364,1270790.14613143,478.19460802301813
2725189.4140792442,1270790.2322441842,478.8427561770693
2725189.11680484,1270783.212616799,477.6674897568142
2725200.3319908218,1270781.1851961352,478.6425200811011
2725207.034771041,1270774.2185282055,478.5548104045441
2725185.685965414,1270783.627345875,477.459965201276
2725202.8692018073,1270786.3125170255,479.8000663129938
2725193.141931453,1270788.5500398467,478.9170809021232
2725194.5908220424,1270776.9483933623,477.2004081952429
2725196.9760398893,1270780.801281749,478.1049219185304
2725197.369439049,1270786.021024164,479.07081995832397
2725181.586842628,1270787.6186660156,477.6787919321249
2725203.71417313,1270772.039010121,477.6597899387826
2725186.6973493528,1270786.2161269078,478.00059253157605
2725187.4795876425,1270793.8485849982,479.2883447610066
2725194.5505326926,1270784.0452080253,478.3905580941142
2725193.287811237,1270779.9719870046,477.5873450002464
2725191.278942096,1270784.011011246,477.9993441926687
2725178.9596696906,1270784.6930802285,477.00942120643185
2725204.0521220006,1270768.5107132485,477.2215818907215
2725212.073375332,1270780.9486515503,480.3550684691657
2725186.980923022,1270797.1310185303,479.9129755988682
2725193.722884903,1270747.6125900634,473.70350193594635
2725181.9538823394,1270768.6759362684,474.6561964239002
2725202.575554371,1270757.4557744346,475.5831857777396
2725182.444358001,1270755.579818235,473.200967409088
2725190.6096031787,1270764.1813454966,474.76044591962807
2725193.5479249046,1270756.4543815355,474.4299499893781
2725179.420465225,1270762.1503020842,473.0
2725198.5641071917,1270742.7634375484,473.72384496891317
2725203.881393943,1270750.3323141006,475.3932970781219
2725187.8982674186,1270749.941851882,473.24533032207364
2725187.0942355907,1270758.9545775782,474.033992697385
2725198.3890973143,1270750.5838734498,474.5673300778563
2725175.2580123716,1270757.5907468775,472.5859906296679
2725186.305653839,1270765.1004459495,474.5265723448717
2725200.573988419,1270746.8333258831,474.87760422381706
2725206.266337117,1270754.048927616,476.00856027210165
2725187.0979324905,1270754.5700249784,473.59766671325474
2725193.964890423,1270760.594249412,474.75622657597813
2725201.2303619543,1270753.5033470562,475.0928600726546
2725191.107168848,1270753.2294192624,473.92438731361
2725197.123568652,1270754.7015213994,474.6511802026281
2725183.4943634025,1270760.4368242258,473.7281152849587
2725184.5398783186,1270752.76061039,473.155522405872
2725195.262965495,1270751.537993316,474.23315369104154
2725197.8954866305,1270759.7103999166,475.1052875930908
2725178.883722755,1270755.2981071463,472.72912832733937
2725190.0009490303,1270756.9216941008,474.0896619806846
2725182.0133648696,1270764.4277488366,474.16130910585304
2725196.8222784665,1270746.9877634053,474.19848576652186
2725176.73650447,1270760.220405424,472.99265487168003
2725191.036612294,1270748.1070207022,473.3508827874074
2725188.4064769438,1270761.56245319,474.36612753937897
2725196.2258154727,1270757.5518386918,474.78315331968435
2725180.5042356863,1270758.6795737413,473.0
2725191.75305628,1270759.0166748436,474.42155228329517
2725200.9536907584,1270750.1798497906,474.88101021433897
2725191.6130453427,1270761.766298463,474.6381792590712
2725185.8889820166,1270761.2146079605,474.08127395362686
2725199.892611073,1270756.7075606235,475.11765661793737
2725185.849870178,1270768.1441383713,474.88366494708026
2725196.2848028145,1270761.274609474,475.04033119259606
2725195.2914087917,1270745.1574485812,474.0
2725178.35423268,1270757.9342596019,472.8855074514519
2725192.3402095973,1270750.7639092933,473.8202128745774
2725189.426488741,1270754.5476936717,473.8548694616836
2725184.308210101,1270766.5164981938,474.57727588962484
2725203.3940904234,1270754.5112682972,475.5335697804921
2725194.114386834,1270753.6703405094,474.27053561207305
2725186.145493761,1270751.0719140081,473.1875494968559
2725188.4209434837,1270763.5865309702,474.4989089373256
2725198.7775262194,1270742.4025703217,473.56445446675474
2725206.7987489305,1270754.8402856225,476.14960516447815
2725182.8995732022,1270770.2529182178,474.93236182391286
2725174.878350491,1270757.815202917,472.57776776297237
