x,y,z
2725202.6215043175,1270787.054140391,472.8862423893255
2725204.0165377427,1270786.1445970314,472.9569883692472
2725205.416908502,1270785.241520829,473.03869273391484
2725206.8172704703,1270784.3384309935,473.08057725040123
2725208.217626714,1270783.4353322815,473.16844351286164
2725209.6179829575,1270782.5322335695,473.2336633613326
2725211.0183392013,1270781.6291348578,473.2883191684761
2725212.418695445,1270780.7260361458,473.3727186022602
2725213.8190516885,1270779.8229374338,473.4867981828239
2725215.2194079324,1270778.9198387219,473.58337600220796
2725216.619761521,1270778.016741722,473.65653694837926
2725218.0202121967,1270777.113795282,473.74658270486844
2725219.420664195,1270776.210845065,473.865086272226
2725220.8211161923,1270775.3078948478,473.9501048318221
2725220.6072886474,1270774.082117912,473.76773713782114
2725219.6618045582,1270772.7100228972,473.43169348051543
2725218.716320469,1270771.3379278826,472.9897351472106
2725217.77083638,1270769.9658328677,472.63180292012726
2725216.8253522906,1270768.5937378528,472.26988880010464
2725215.879868201,1270767.221642838,471.9130300217023
2725214.934384112,1270765.8495478234,471.5435586995055
2725213.9889000226,1270764.4774528085,471.17132736204854
2725213.043415933,1270763.1053577939,470.8156852693412
2725212.0979318437,1270761.733262779,470.4689481673399
2725211.1524477545,1270760.3611677643,470.1136029542084
2725210.2069636653,1270758.9890727496,469.8325162109998
2725209.261479576,1270757.6169777347,469.63997099424444
2725208.3159954874,1270756.2448827198,469.44291845119056
2725207.3705113977,1270754.8727877052,469.24781793647645
2725206.4250273085,1270753.5006926903,469.01506020868055
2725205.4795432193,1270752.1285976756,468.78105518159254
2725204.5340591297,1270750.756502661,468.537739423419
2725203.588575041,1270749.384407646,468.2749707156851
2725202.6430909513,1270748.0123126311,468.0
2725201.697606862,1270746.6402176162,468.0
2725200.752122773,1270745.2681226016,467.7325420371242
2725199.8066386837,1270743.896027587,467.187298106829
2725198.8611545945,1270742.523932572,466.6163491970443
2725197.9156705053,1270741.151837557,466.1466950868625
2725196.9701864156,1270739.7797425424,465.41924486262377
2725196.0247023264,1270738.4076475278,464.3867869725871
2725194.7847669874,1270739.3974141206,464.33043302067887
2725193.531343383,1270740.495373209,464.30899189844894
2725192.277919778,1270741.5933322976,464.3492994528056
2725191.0244961735,1270742.6912913863,464.4639616014935
2725189.750396616,1270743.7600882812,464.4629235798663
2725188.4695863086,1270744.82597282,464.54359261530993
2725187.1792301415,1270745.8785649138,464.79751101395516
2725185.8810300576,1270746.9231995079,465.1081540196539
2725184.579279929,1270747.957850573,465.3176296085634
2725183.2638267754,1270748.9806740636,465.41205572302965
2725181.9486404927,1270749.998850687,465.40690354553055
2725180.616013877,1270750.9991962248,465.3514241015924
2725179.283387261,1270751.9995417628,465.3879115047398
2725177.9382488043,1270752.9810408195,465.3974647341697
2725176.5883770827,1270753.9579907814,465.35303825071776
2725175.234079753,1270754.9225898318,465.2986630618867
2725173.8671177677,1270755.8754800789,465.2998566105239
2725172.4999834974,1270756.8279167432,465.3108461391937
2725171.1304770363,1270757.777146402,465.1937193139199
2725169.760970575,1270758.7263760609,465.1187199395466
2725168.3914641137,1270759.6756057194,465.1473169629384
2725167.0219576526,1270760.624835378,465.249227295942
2725167.120336527,1270761.937149602,465.4861668630394
2725167.8894101246,1270763.4153615944,465.782023992981
2725168.6584837222,1270764.8935735868,466.0653858869292
2725169.4275573194,1270766.371785579,466.298590710605
2725170.196630917,1270767.8499975717,466.5205969946928
2725170.965704514,1270769.3282095639,466.76087928774393
2725171.734778112,1270770.8064215563,467.0250380384575
2725172.503851709,1270772.2846335485,467.33412333651376
2725173.2729253066,1270773.7628455411,467.64320863468475
2725174.041998904,1270775.2410575333,467.95229393277737
2725174.8110725014,1270776.7192695257,468.2455196721172
2725175.580146099,1270778.1974815181,468.5382317882757
2725176.349219696,1270779.6756935106,468.87181423362676
2725177.1182932938,1270781.153905503,469.20678039241756
2725177.887366891,1270782.6321174954,469.5426101111947
2725178.6564404885,1270784.1103294876,469.87843982997333
2725179.425514086,1270785.58854148,470.1838846621214
2725180.1945876833,1270787.0667534722,470.4718040368235
2725180.963661281,1270788.5449654646,470.76326514550533
2725181.7327348785,1270790.023177457,471.0679285177169
2725182.5018084757,1270791.5013894495,471.3914192303376
2725183.2708820733,1270792.9796014419,471.7152887898133
2725184.0399556705,1270794.457813434,472.04652965329007
2725184.809029268,1270795.9360254265,472.4271597435602
2725185.5781028653,1270797.414237419,472.78385956219756
2725186.390443624,1270798.721686316,473.1430862946328
2725187.77062222,1270797.788041878,473.1632652287414
2725189.150800816,1270796.85439744,473.0950537275995
2725190.530979411,1270795.9207530022,473.07748567653914
2725191.911158007,1270794.9871085645,472.9830212130444
2725193.291336603,1270794.0534641263,472.95139348140106
2725194.6281926986,1270793.0590769716,472.90082175988687
2725195.9604191952,1270792.0581986299,472.90640873623465
2725197.2926456914,1270791.057320288,472.8948564601366
2725198.624872188,1270790.0564419464,472.8898161247523
2725199.9570986843,1270789.0555636045,472.9303995929418
2725201.2893251805,1270788.054685263,472.9036520669541
