x,y,z
2725160.487,1270757.854,463.97978377680454
2725161.424531338,1270759.6559992777,464.5993833369165
2725162.3620626763,1270761.4579985559,465.11244807592357
2725163.2995940144,1270763.259997834,465.42242092482746
2725164.237125353,1270765.0619971117,465.74311803430055
2725165.1746566906,1270766.8639963896,466.03678035580657
2725166.1121880286,1270768.6659956677,466.3578676735456
2725167.049719367,1270770.4679949456,466.67895499128144
2725167.9872507052,1270772.2699942235,466.9743637144216
2725168.9247820433,1270774.0719935014,467.30571375926013
2725169.8623133814,1270775.8739927793,467.6520599829981
2725170.7998447195,1270777.6759920572,467.99967297160674
2725171.7373760575,1270779.477991335,468.39253316716326
2725172.6749073956,1270781.279990613,468.78505934348607
2725173.6124387337,1270783.081989891,469.17089603680375
2725174.5499700718,1270784.8839891688,469.5481060032389
2725175.48750141,1270786.6859884467,469.9253159696741
2725176.425032748,1270788.4879877246,470.29758262849623
2725177.362564086,1270790.2899870027,470.6695374211227
2725178.300095424,1270792.0919862806,471.04708852414547
2725179.237626762,1270793.8939855585,471.46921115067136
2725180.1751581007,1270795.6959848364,471.8893722468882
2725181.1126894383,1270797.4979841143,472.3326059471228
2725182.0502207763,1270799.299983392,472.77139355843167
2725182.987752115,1270801.1019826701,473.23704498248395
2725183.925283453,1270802.903981948,473.7480446388449
2725184.9022740247,1270804.5626610985,474.224441782932
2725186.6300314283,1270803.4944753647,474.2248919857951
2725188.357788832,1270802.4262896308,474.2530774722076
2725190.0855462356,1270801.3581038972,474.34295633357874
2725191.762318476,1270800.2152373663,474.3189698464671
2725193.3863556217,1270798.9951268148,474.20938925991607
2725195.010392767,1270797.7750162634,474.15152936370663
2725196.6344299125,1270796.554905712,474.07772698169117
2725198.2584670577,1270795.3347951607,474.01704739449985
2725199.8825042034,1270794.1146846092,473.95979385021457
2725201.506541349,1270792.8945740578,473.91587577181593
2725203.130578494,1270791.6744635063,473.9283460438181
2725204.7546156403,1270790.454352955,473.93306295271606
2725206.4491717843,1270789.335452815,474.011098166264
2725208.1562793003,1270788.2345666557,474.1561853140119
2725209.863369321,1270787.1336533665,474.1926252981138
2725211.5704593407,1270786.032740077,474.2633399641148
2725213.277549361,1270784.931826788,474.31208951855876
2725214.984639381,1270783.8309134985,474.3849728793795
2725216.6917294012,1270782.7300002093,474.6287931414424
2725218.398819422,1270781.62908692,474.94564795136966
2725220.106000926,1270780.5283155036,475.03763261615063
2725221.8132076743,1270779.4275832353,475.29844996333475
2725223.5204144223,1270778.326850967,476.1369812943456
2725225.2276211707,1270777.2261186987,476.0008999310379
2725226.863085681,1270776.1110392802,476.380939498165
2725225.710502929,1270774.4384008232,474.9657427807922
2725224.557920177,1270772.7657623666,474.3463550619088
2725223.4053374254,1270771.0931239096,473.8529452533507
2725222.2527546734,1270769.4204854525,473.46821880165965
2725221.1001719213,1270767.7478469957,473.04947447701994
2725219.9475891693,1270766.075208539,472.6092724288096
2725218.795006417,1270764.4025700819,472.1745211893633
2725217.6424236656,1270762.729931625,471.5857836277609
2725216.4898409136,1270761.0572931683,471.00612703928215
2725215.3372581615,1270759.3846547112,470.6645269246309
2725214.1846754095,1270757.7120162544,470.4152304719444
2725213.0320926574,1270756.0393777974,470.18368333046294
2725211.8795099054,1270754.3667393406,470.02573759537137
2725210.7269271538,1270752.6941008838,469.8144232602449
2725209.5743444012,1270751.021462427,469.519784564928
2725208.4217616497,1270749.3488239702,469.20293130555973
2725207.2691788976,1270747.6761855131,468.9472196249989
2725206.116596146,1270746.003547056,468.45090173478906
2725204.964013394,1270744.3309085993,467.9427529078927
2725203.811430642,1270742.6582701425,467.5304617454215
2725202.65884789,1270740.9856316857,466.9134891253753
2725201.506265138,1270739.3129932287,465.91440515759774
2725200.3536823858,1270737.6403547719,464.3658394985559
2725199.201099634,1270735.967716315,463.8149773505371
2725198.048516882,1270734.295077858,463.20527852248
2725196.89593413,1270732.6224394012,462.8479691154547
2725195.7433513785,1270730.9498009444,462.03325494999626
2725194.26695236,1270731.8745676817,461.9747065278503
2725192.738979078,1270733.213023529,461.9264292535899
2725191.211005795,1270734.5514793764,461.8721394000672
2725189.683032512,1270735.8899352236,461.91473616807826
2725188.15505923,1270737.2283910709,461.95733293611744
2725186.620380023,1270738.5589931249,462.0
2725185.0590212597,1270739.858348819,462.25487942461945
2725183.488792023,1270741.1468649798,462.49037165408646
2725181.9062344297,1270742.420316145,462.75034527692605
2725180.310302808,1270743.676860041,462.8781917331345
2725178.7067130352,1270744.923722603,462.9580714268156
2725177.0852654018,1270746.147211418,462.9731941551374
2725175.460740495,1270747.3666724607,462.9875798544958
2725173.815629742,1270748.5582057117,463.0
2725172.167893114,1270749.7460645824,463.0873189694288
2725170.5015120246,1270750.907675736,463.06550555805325
2725168.834414536,1270752.0682562483,463.3152675062386
2725167.1649316284,1270753.2254049985,463.3845189778893
2725165.4954487216,1270754.382553749,463.47570223896986
2725163.8259658143,1270755.5397024993,463.72259439186377
2725162.1564829075,1270756.6968512498,463.94072138865806
