x,y,z
-48.05336169201061,-13.689391977363824,8.0
-47.56403413899602,-13.183478989368844,8.0
-47.01052645676749,-12.748602163864808,8.0
-46.31889596631328,-12.875377436820758,8.0
-45.62167762673229,-12.978458399047517,8.0
-44.923389415232464,-13.07251261657203,8.0
-44.25100559039988,-13.273876658604998,8.0
-43.700089127460686,-4.234228486465421,9.0
-43.57856087475368,-13.457177050253689,8.0
-43.30462875054818,-17.301391732252068,7.0
-42.96119178996497,-4.399948115783232,9.0
-42.8921565171195,-13.61090536354698,8.0
-42.776860710425076,-16.842905263030417,7.0
-42.3591780338686,-2.5277726175244317,10.0
-42.24614363486485,-16.393171878064795,7.0
-42.23508160670531,-13.866620740969129,8.0
-42.217602764331616,-4.280675958788959,9.0
-41.627574536884204,-2.9588120714625865,10.0
-41.58954443272516,-16.20969163817693,7.0
-41.57079930317866,-14.102475361555513,8.0
-41.48002631305246,-4.251717214093553,9.0
-40.97182024288681,-14.469496746632633,8.0
-40.934893872926196,-16.431881281771474,7.0
-40.90025612676567,-4.705271259751829,9.0
-40.84437666184698,-3.071831660788662,10.0
-40.41655970685326,2.4123102608722657,11.0
-40.33782553561381,-14.773358149520627,8.0
-40.30575472873451,-16.723685922151247,7.0
-40.23199914099215,-4.949498314139914,9.0
-39.9868992094292,-3.301766740623534,10.0
-39.76358408372501,-15.182424282151533,8.0
-39.68806761724117,-5.478369325463351,9.0
-39.650987534521704,-16.957561640581915,7.0
-39.49894050230154,2.0359716406890245,11.0
-39.16053402229292,-3.622857055616305,10.0
-39.12166587757217,-15.467078281834574,8.0
-39.01129135055322,-17.243273552863965,7.0
-39.00180804749857,-5.674850980015006,9.0
-38.589605163190825,1.6222414941274972,11.0
-38.49355035969147,-15.78491867344847,8.0
-38.42007498269387,-6.150338699723593,9.0
-38.38350325964983,-17.553537544225502,7.0
-38.354828400201,-3.9914820797691086,10.0
-37.87557336724733,-16.122753175427633,8.0
-37.74678262688707,-6.477373339211897,9.0
-37.73579987777562,-17.820498219899484,7.0
-37.63852406535025,1.3119536306202721,11.0
-37.542882869848604,-4.346577745095017,10.0
-37.275516445210684,-16.49244658311344,8.0
-37.11315299403604,-6.890206522839495,9.0
-37.09972172771492,-18.11448275737077,7.0
-37.04486005544619,7.568447316241787,12.0
-36.72869061569955,-4.698288998242715,10.0
-36.670946517283085,1.0991805311634169,11.0
-36.66147506583735,-16.838897939385287,8.0
-36.53255591182062,-7.378402812553172,9.0
-36.50790808218104,-18.487566046120673,7.0
-36.469259147904886,-22.034094935165445,6.0
-36.166907523346026,7.071496604343077,12.0
-36.063031176453336,-17.210908164335784,8.0
-35.89885272952155,-18.833661245110576,7.0
-35.888340866492285,-4.971772481626852,10.0
-35.8778532277614,-7.739307701443001,9.0
-35.8675747534453,-21.697538708396557,6.0
-35.716655147819324,0.8036125790929931,11.0
-35.42972882803156,-17.519348792463603,8.0
-35.29568089006479,-8.22548655884428,9.0
-35.26898894372138,-19.137546237108417,7.0
-35.20731533946041,6.742546412221156,12.0
-35.19501266643377,-21.51878911878807,6.0
-35.063876316102416,-5.300950098494125,10.0
-34.80320470109345,-17.84240881630523,8.0
